Site,Data,Source,Date,Season,O18,D,D_EX
Winter Precip. ,Brown,Meteoric,3/17/2008,Spring,-17.41,-123.23,16.05
Monsoon Precip. ,Brown,Meteoric,8/14/2008,Autumn,-7.36,-64.43,-5.55
North Sinkhole (16:00) ,Brown,Sinkhole,4/26/2008,Spring,-11.87,-87.96,7
North Sinkhole (20:00) ,Brown,Sinkhole,4/26/2008,Spring,-11.87,-88.54,6.42
North Sinkhole (12:00) ,Brown,Sinkhole,4/27/2008,Spring,-12.41,-91.5,7.78
North Sinkhole (16:00) ,Brown,Sinkhole,4/27/2008,Spring,-11.97,-89.4,6.36
North Sinkhole (20:00) ,Brown,Sinkhole,4/27/2008,Spring,-12.25,-90.3,7.7
North Sinkhole (8:00) ,Brown,Sinkhole,4/28/2008,Spring,-12.9,-92.87,10.33
Ross Sinkhole (16:00) ,Brown,Sinkhole,4/26/2008,Spring,-12.58,-88.71,11.93
Ross Sinkhole (12:00) ,Brown,Sinkhole,4/27/2008,Spring,-12.72,-90.61,11.15
Ross Sinkhole (16:00) ,Brown,Sinkhole,4/27/2008,Spring,-12.66,-90.04,11.24
Ross Sinkhole (8:00) ,Brown,Sinkhole,4/28/2008,Spring,-12.65,-90.66,10.54
Ross Sinkhole ,Brown,Sinkhole,6/1/2008,Summer,-12.23,-88.14,9.7
,,,,,,,
,,,,,,,
